detention_facility_code,detention_facility,address,state,aor,type,operator,note
INTPOOK,INTEGRIS HEALTH PONCA CITY HOSPITA,"1900 N 14th St, Ponca City, OK 74601",OK,DAL,HEALTH,,
BOPPHL,FDC PHILADELPHIA,"700 Arch St, Philadelphia, PA 19106",PA,PHI,BOP,,
GSMCDPA,GEISINGER MEDICAL CENTER,"100 N Academy Ave, Danville, PA 17822",PA,PHI,HEALTH,,
LVYHOPA,LEHIGH VALLEY HOSPITAL - POCONO,"206 E Brown St, East Stroudsburg, PA 18301",PA,PHI,HEALTH,,
MHRHOPA,MILTON S. HERSHEY MEDICAL CENTER,"500 University Dr, Hershey, PA 17033",PA,PHI,HEALTH,,
MSVPCPA,MOSHANNON VALLEY PROCESSING CENTER,"555 GEO Drive, Philipsburg, PA 16866",PA,PHI,,GEO Group,
MTNITPA,MOUNT NITTANY MEDICAL CENTER,"155 Wellness Wy, State College, PA 16803",PA,PHI,HEALTH,,
MVPNHPA,PENN HIGHLANDS CLEARFIELD,"809 Turnpike Ave, Clearfield, PA 16830",PA,PHI,HEALTH,,
UPMCAPA,UPMC ALTOONA,"620 Howard Ave, Altoona, PA 16601",PA,PHI,HEALTH,,
WPOHOLD,WILLIAMSPORT HOLD ROOM,"2851 S. Reach Road, Williamsport, PA 17701",PA,PHI,HOLD,,Address per Sun Gazette
YRKHOLD,YORK HOLD ROOM,"1605 Clugston Road, York, PA 17404",PA,PHI,HOLD,,
KENTHRI,KENT HOSPITAL,"455 Toll Gate Rd, Warwick, RI 02886",RI,BOS,HEALTH,,
MIRHPRI,MIRIAM HOSPITAL,"164 Summit Ave, Providence, RI 02906",RI,BOS,HEALTH,,
PROHOLD,PROHOLD,"443 Jefferson Blvd North Suite, Warwick, RI 02886",RI,BOS,HOLD,,
RIHPRRI,RHODE ISLAND HOSPITAL,"593 Eddy St, Providence, RI 02903",RI,BOS,HEALTH,,
ANDERSC,ANDERSON COUNTY DET CENTER,"1009 David Lee Coffee Pl Rd, Anderson, SC 29625",SC,ATL,IGSA,,Guessing IGSA
DORCDSC,DORCHESTER CO DET CTR,"220 Hodge Rd, Summerville, SC 29483",SC,ATL,IGSA,,
ANSGHTX,ANSON GENERAL HOSPITAL,"101 Avenue J, Anson, TX 79501",TX,,HEALTH,,
BMCSATX,BAPTIST MEDICAL CENTER,"111 Dallas St, San Antonio, TX 78205",TX,,HEALTH,,
BSTAYTX,BAYLOR SCOTT WHITE MD CTR,,TX,,HEALTH,,"Multiple locations, ambiguous"
BSWRRTX,BAYLOR SCOTT WHITE MED RR,,TX,,HEALTH,,"Multiple locations, ambiguous"
CCHRTTX,CEDAR CREST HOSP TREAT,"3500 I-35, Belton, TX 76513",TX,,HEALTH,,
CSLLFTX,CHI ST LUKE'S H M LUFKIN,"1201 W Frank Ave, Lufkin, TX 75904",TX,,HEALTH,,
CHISLTX,CHI ST LUKE'S HEALTH MEM,"1717 US-59 Loop N, Livingston, TX 77351",TX,,HEALTH,,Guessing
CHSRHTX,CHRISTUS SANTA ROSA HOSPITAL - MED,"403 Treeline Park, San Antonio, TX 78209",TX,,HEALTH,,"Multiple locations, ambiguous"
CONHOTX,CONNALLY MEMORIAL MEDICAL CENTER,"499 10th St, Floresville, TX 78114",TX,,HEALTH,,
CRPHOLD,CORPUS CHRISTI EOR HOLD ROOM,"Corpus Christi, TX",TX,,HOLD,,Address unknown
CCHAUTX,CROSS CREEK HOSPITAL,"8402 Cross Park Dr, Austin, TX 78754",TX,,HEALTH,,
DSMCNTX,DSMC - DEL SOL MEDICAL CENTER,"10301 Gateway Blvd W, El Paso, TX 79925",TX,,HEALTH,,
EDNBGTX,EDINBURG POLICE DEPT.,"1702 S Closner Blvd, Edinburg, TX 78539",TX,,POLICE DEPARTMENT,,
EPCDFTX,EL PASO COUNTY DETENTION FACILITY,"601 E Overland Ave, El Paso, TX 79901",TX,,IGSA,,
EPLTATX,EL PASO LTAC HOSPITAL,"1221 N Cotton St # 3, El Paso, TX 79902",TX,,HEALTH,,
FRIRHTX,FRIO REGIONAL HOSPITAL,"200 I-35, Pearsall, TX 78061",TX,,HEALTH,,
GRGBVTX,GEORGETOWN BEHAVIORAL HOSPITAL,"3101 S Austin Ave, Georgetown, TX 78626",TX,,HEALTH,,
HRLGNTX,HARLINGEN POLICE DEPT.,"1018 Fair Park Blvd, Harlingen, TX 78550",TX,,POLICE DEPARTMENT,,
HHBTHTX,HARRIS HEALTH BEN TAUB HOSPITAL,"1504 Ben Taub Loop, Houston, TX 77030",TX,,HEALTH,,
LBJHSTX,HARRIS HEALTH LBJ HOSPITAL,"5656 Kelley St, Houston, TX 77026",TX,,HEALTH,,
HCAHCTX,HCA HOUSTON HC CONROE,"504 Medical Center Blvd, Conroe, TX 77304",TX,,HEALTH,,
HNDMCTX,HENDRICK MEDICAL CENTER,"1900 Pine St, Abilene, TX 79601",TX,,HEALTH,,
HHCHKTX,HOUSTON HEALTHCARE HOSP,"1313 Hermann Dr, Houston, TX 77004",TX,,HEALTH,,
KNXCHTX,KNOX COUNTY HOSPITAL,"701 S E 5th St, Knox City, TX 79529",TX,,HEALTH,,
LRDMCTX,LAREDO MEDICAL CENTER,"1700 E Saunders St, Laredo, TX 78041",TX,,HEALTH,,
LIMMCTX,LIMESTON MEDICAL CENTER,"701 McClintic Dr, Groesbeck, TX 76642",TX,,HEALTH,,
MCAHOLD,MCALLEN HOLD ROOM,"McAllen, TX",TX,,HOLD,,
MHNHHTX,MEMORIAL HERMANN NE HOSP,"18951 N Memorial Dr, Humble, TX 77338",TX,,HEALTH,,
METHOTX,METHODIST HOSPITAL,"7700 Floyd Curl Dr, San Antonio, TX 78229",TX,,HEALTH,,
MHMSATX,METHODIST HOSPITAL METROPOLITAN,"1310 McCullough Ave, San Antonio, TX 78212",TX,,HEALTH,,
MHNSATX,METHODIST HOSPITAL NORTHEAST,"12412 Judson Rd, Live Oak, TX 78233",TX,,HEALTH,,
MTHOSTX,METHODIST HOSPITAL SOUTH,,TX,,HEALTH,,"Multiple locations, ambiguous"
MHSOSTX,METHODIST HOSPITAL STONE OAK,"1139 E Sonterra Blvd, San Antonio, TX 78258",TX,,HEALTH,,
MHTSATX,METHODIST HOSPITAL TEXSAN,"7700 Floyd Curl Dr, San Antonio, TX 78229",TX,,HEALTH,,Duplicate location?
MSTHSTX,METHODIST SPECIALTY TRANSPLANT HOS,"8026 Floyd Curl Dr, San Antonio, TX 78229",TX,,HEALTH,,
OKMHKTX,OTTO KAISER MEMORIAL HOSPITAL,"3349 US-181, Kenedy, TX 78119",TX,,HEALTH,,
PAMSATX,PAM HEALTH SPECIALTY HOSPITAL 1,"5418 N Loop 1604 W, San Antonio, TX 78249",TX,,HEALTH,,
PKLDHTX,PARKLAND HOSPITAL,"5200 Harry Hines Blvd, Dallas, TX 75235",TX,,HEALTH,,
RDRVHTX,RED RIVER HOSPITAL,"1505 8th St, Wichita Falls, TX 76301",TX,,HEALTH,,
SLHTWTX,ST LUKE'S HEALTH - THE WOODLANDS,"17200 St Lukes Way, The Woodlands, TX 77384",TX,,HEALTH,,
THHHBTX,TEX HEALTH HUGULEY HOSP,"11801 South Fwy, Burleson, TX 76028",TX,,HEALTH,,
TVMSATX,TEXAS VISTA MEDICAL CENTER,"7400 Barlite Blvd, San Antonio, TX 78224",TX,,HEALTH,,
THPSCTX,THOP SIERRA CAMPUS ELP,"1625 Medical Center St Drive, El Paso, TX 79902",TX,,HEALTH,,
THHMHTX,TX HLTH HARRIS METH HOSP,"1301 Pennsylvania Ave, Fort Worth, TX 76104",TX,,HEALTH,,"Multiple locations, ambiguous"
UVHSATX,UNIVERSITY HOSPITAL,"4502 Medical Dr, San Antonio, TX 78229",TX,,HEALTH,,
UMCEPTX,UNIVERSITY MED CENTER OF EL PASO,"4815 Alameda Ave, El Paso, TX 79905",TX,,HEALTH,,
UVALDTX,UVALDE COUNTY JAIL,"339 King Fisher Ln, Uvalde, TX 78801",TX,,IGSA,,
BLGHOLD,BOWLING GREEN HOLD ROOM,"Bowling Green, VA",VA,WAS,HOLD,,Address unknown
CENTRVA,CENTRA HEALTH,"1920 Atherholt Rd, Lynchburg, VA 24501",VA,WAS,HEALTH,,
CSSCHVA,CENTRA SOUTHSIDE COMM HOSP,"800 Oak St, Farmville, VA 23901",VA,WAS,HEALTH,,
MWASHVA,MARY WASHINGTON HOSPITAL,"1001 Sam Perry Blvd, Fredericksburg, VA 22401",VA,WAS,HEALTH,,
MRREGVA,MIDDLE RIVER REGIONAL JAIL,"350 Technology Dr, Staunton, VA 24401",VA,WAS,IGSA,,
NRJDCVA,NW REG JUV DET CTR,"145 Fort Collier Rd., Winchester, VA 22603",VA,WAS,JUVENILE JAIL,,
STCHOVA,SENTARA CAREPLEX HOSPITAL,"3000 Coliseum Dr, Hampton, VA 23666",VA,WAS,HEALTH,,
SPOTSVA,SPOTSYLVANIA REG MED CTR,"4600 Spotsylvania County Pkwy, Fredericksburg, VA 22408",VA,WAS,HEALTH,,
WVIRGVA,WESTERN VIRGINIA REGIONAL JAIL,"5885 W River Rd, Salem, VA 24153",VA,WAS,REGIONAL JAIL,,
FDLHOLD,FERNDALE HOLD ROOM,"5200 Industrial Pl, Ferndale, WA 98248",WA,SEA,HOLD,,
HAVMCWA,HARBORVIEW MEDICAL CENTER,"325 9th Ave Main Hospital, Seattle, WA 98104",WA,SEA,HEALTH,,
RICHOLD,RICHLAND HOLD ROOM,"825 Jadwin Avenue Room G165 Richland, WA 99352",WA,SEA,HOLD,,
SPOHOLD,SPOKANE HOLD ROOM,"411 W Cataldo Avenue Spokane, WA 99201",WA,SEA,HOLD,,
STJMCWA,ST JOSEPH MEDICAL CENTER,"1717 S J St, Tacoma, WA 98405",WA,SEA,HEALTH,,
TACGHWA,TACOMA GENERAL HOSPITAL,"315 M.L.K. Jr Way, Tacoma, WA 98405",WA,SEA,HEALTH,,
WNTHOLD,WENATCHEE HOLD ROOM,"3701 River Road, Yakima, WA 98902",WA,SEA,HOLD,,Per ICE website; location may not be accurate
FNDDUWI,FOND DU LAC COUNTY SHERIFF/JAIL,"63 Western Ave, Fond du Lac, WI 54935",WI,CHI,IGSA,,
WRMEDWI,WATERTOWN REGIONAL MEDICAL CENTER,"125 Hospital Dr, Watertown, WI 53098",WI,CHI,HEALTH,,
BOPMRG,MORGANTOWN FED.CORR.INST.,"446 Green Bag Road ROUTE 857, Morgantown, WV 26507",WV,PHI,BOP,,
GTMOACU,JTF CAMP SIX,"Guantanamo Bay, Cuba",,,MILITARY PRISON,,
GTMODCU,MIGRANT OPS CENTER MAIN AV622,"Guantanamo Bay, Cuba",,,MILITARY PRISON,,
ADVHCHI,ADVENTIST HEALTH CASTLE,,,,,,
ALAMOTX,ALAMO POLICE DEPT.,,,,,,
AHGRFND,ALTRU HOSPITAL GRAND FORKS,,,,,,
ANCHOLD,ANCHORAGE SUB-OFFICE HOLD ROOM,,,,,,
AZSVCPC,ARIZONA STATE PRISON - YUMA,,,,,,
ABIRJVA,B.R.R.J. ABINGDON,,,,,,
BOURBKY,BOURBON CO DET CENTER,,,,,,
BROWNWI,BROWN COUNTY JAIL,,,,,,
BFLHPNY,BUFFALO GENERAL HOSPITAL,,,,,,
CPBDCKY,CAMPBELL CO DET CTR,,,,,,
CNTRHWA,CENTRAL WASHINGTON HOSPITAL,,,,,,
CHIHMIA,CHI HEALTH MERCY COUNCIL BLUFFS,,,,,,
OKCIMMC,CIMARRON CORRECTIONAL FACILITY,,,,,,
CLARKIN,CLARK COUNTY JAIL,,,,,,
CSDHOLD,COLO SPRINGS DEN HSI HOLD,,,,,,
CWHCCMP,COMMONWEALTH HEALTHCARE CORP,,,,,,
CCRMCCA,CONTRA COSTA REG MED CTR,,,,,,
OHNORWE,CORRECTIONS CENTER OF NW OHIO,,,,,,
COXMEMO,COXHEALTH MEDICAL CENTER SOUTH,,,,,,
EFMHMFL,ED FRASER MEMORIAL HOSPITAL,,,,,,
EPCPCTX,EGP CPC HOLDING,,,,,,
EPSSFTX,EL PASO SOFT SIDED FACILITY,,,,,,
ENLMCCA,ENLOE MEDICAL CENTER,,,,,,
BOPBER,FCI BERLIN,,,,,,
NYFISHC,FISHKILL C.F. BEACON NY,,,,,,
FLHOSFL,FORT LAUDERDALE HOSPITAL,,,,,,
FRANKPA,FRANKLIN COUNTY JAIL,,,,,,
NYGREAC,GREAT MEADOW C.F.,,,,,,
GUAMHGU,GUAM MEMORIAL HOSPITAL,,,,,,
HPKNSKY,HOPKINS COUNTY JAIL,,,,,,
JACKSTN,JACKSON COUNTY SHERIFF,,,,,,
KENMHNY,KENMORE MERCY HOSPITAL,,,,,,
LPD77CA,LOS ANGELES POLICE PD 77TH DIV.,,,,,,
NYMARCC,MARCY CORRECTIONAL,,,,,,
MLPHHMI,MCLAREN PORT HURON HOSP,,,,,,
MEMHOCA,MEMORIAL HOSPITAL BAKERSFIELD,,,,,,
MRYHOMO,MERCY HOSPITAL SOUTH,,,,,,
NUMCENY,NASSAU UNIV MED CTR,,,,,,
NMCOMNE,NEBRASKA MED CTR OMAHA,,,,,,
NLSCOLA,NELSON COLEMAN CORRECTIONS CENTER,,,,,,
NEBHSTX,NORTHEAST BAPTIST HOSPITAL,,,,,,
NNVMCNV,NORTHERN NEVADA MED CTR,,,,,,
OZARKMO,OZARK COUNTY SHERIFF'S OFFICE,,,,,,
PKMEDIN,PARKVIEW REGIONAL MEDICAL CENTER,,,,,,
PHELPMO,PHELPS COUNTY JAIL,,,,,,
PHELSMO,PHELPS HEALTH HOSPITAL,,,,,,
POTTRTX,POTTER COUNTY JAIL,,,,,,
PUTNMTN,PUTNAM COUNTY SHERIFF,,,,,,
RVBHHTX,RIO VISTA BEHV HLTH HSP,,,,,,
SAUKCWI,SAUK COUNTY SHERIFF,,,,,,
SCOTTIA,SCOTT COUNTY JAIL,,,,,,
SSHNHNY,SOUTHSIDE HOSP NORTHWELL HLTH,,,,,,
SPRHONY,SPRING VALLEY HOSPITAL,,,,,,
STGENMO,STE. GENEVIEVE COUNTY SHERIFF/JAIL,,,,,,
SNTRHNY,SUNRISE HOSPITAL,,,,,,
SUWANFL,SUWANNEE COUNTY JAIL,,,,,,
TBRJLME,TWO BRIDGES REGIONAL JAIL,,,,,,
THHEBTX,TX HEALTH METH HOSP HEB,,,,,,
UMASSMA,UMASS MEMORIAL MEDICAL CENTER,,,,,,
UPSLSIA,UNITYPOINT HLTH ST LUKES HOSP SXC,,,,,,
UNMEDMD,UNIV OF MARYLAND MEDICAL CENTER,,,,,,
VCUHOVA,VCU HEALTH TAPPAHANNOCK HOSPITAL,,,,,,
WALTNFL,WALTON COUNTY D.O.C.,,,,,,
WLTSOFL,WALTON COUNTY JAIL,,,,,,
