detention_facility_code,detention_facility,area_of_responsibility
PWHOSFL,PALMS WEST HOSPITAL,Miami Area of Responsibility
PWILLVA,PRINCE WILLIAM,Washington Area of Responsibility
QLTYSCA,QUALITY SUITES,San Diego Area of Responsibility
QUEHONY,QUEENS HOUSE OF DETENTION,New York City Area of Responsibility
RAADCMN,"RAMSEY ADC ANNEX, SPM",St. Paul Area of Responsibility
RADDFGA,ROBERT A DEYTON DETENTION FAC,Atlanta Area of Responsibility
RAMEPTX,RAMADA BY WYNDHAM EL PASO,NA
RAPPSVA,RAPP SEC CENTER,Washington Area of Responsibility
RCKISIL,ROCK ISLAND CORRECTIONAL CENTER,NA
RCMHOLD,RICHMOND SUB-OFFICE HOLD,Washington Area of Responsibility
RDHEATX,RADISSON HTL ELP AIRPORT,NA
RDRVHTX,RED RIVER HOSPITAL,NA
RDUHOLD,RALEIGH HOLD ROOM,Atlanta Area of Responsibility
REDETTX,REEVES COUNTY DET. CENTER,El Paso Area of Responsibility
REDHOLD,REDDING HOLD ROOM,NA
REHOSIL,RIVEREDGE HOSPITAL,Chicago Area of Responsibility
REJAITX,REEVES COUNTY JAIL,El Paso Area of Responsibility
REJUVTX,REEVES CO. JUV. DET. CTR.,El Paso Area of Responsibility
RENHOLD,RENO HOLD ROOM,Salt Lake City Area of Responsibility
RENSSNY,RENSSELAER CO SHERIFF,New York City Area of Responsibility
RESIDTX,RESIDENCE INN DALLAS AP,NA
RGHOSTX,RIO GRANDE ST.HOSPITAL,Harlingen Area of Responsibility
RGRNDTX,RIO GRANDE DETENTION CENTER,Harlingen Area of Responsibility
RGS,RIO GRANDE VALLEY STAGING,Harlingen Area of Responsibility
RICECKS,RICE COUNTY DET CENTER,Chicago Area of Responsibility
RICHMVA,RICHMOND CITY JAIL,Washington Area of Responsibility
RICHOLD,RICHLAND HOLD ROOM,NA
RICRANS,RHODE ISLAND DEPT OF CORRECTIONS,Boston Area of Responsibility
RIHPRRI,RHODE ISLAND HOSPITAL,Boston Area of Responsibility
RIIHOLD,ROCK ISLAND HOLD ROOM,Chicago Area of Responsibility
RIOCCCA,RIO COSUMNES CORRECTIONS-RCCC,San Francisco Area of Responsibility
RIOGRCO,RIO GRANDE COUNTY JAIL,Denver Area of Responsibility
RIVERCA,RIVERSIDE COUNTY SHERIFF,San Francisco Area of Responsibility
RMKHOLD,ROANOKE SUB-OFFICE HOLD ROOM,NA
RMWYPAZ,RAMADA BY WYNDHAM PHO,NA
RNDLLTX,RANDALL COUNTY JAIL,Dallas Area of Responsibility
ROANOVA,ROANOKE COUNTY JAIL,Washington Area of Responsibility
ROBERSD,"ROBERTS CO. JAIL, SD",St. Paul Area of Responsibility
ROCKIIL,ROCK ISLAND COUNTY JAIL,Chicago Area of Responsibility
ROCKINH,ROCKINGHAM COUNTY JAIL,Boston Area of Responsibility
ROCKIVA,ROCKINGHAM CO. JAIL,Washington Area of Responsibility
RONKEVA,ROANOKE CITY JAIL,Washington Area of Responsibility
RPCHOLD,RAPID CITY HOLD ROOM,St. Paul Area of Responsibility
RRFINWA,RED ROOF INN,Seattle Area of Responsibility
RRIVRIL,ROCK RIVER HEALTH CARE,NA
RSREGVA,RIVERSIDE REG JAIL,Washington Area of Responsibility
RSWHOLD,ROSWELL HOLD ROOM,NA
RVBHHTX,RIO VISTA BEHV HLTH HSP,NA
RVRCCLA,River Correctional Center,New Orleans Area of Responsibility
RWCCMLA,RICHWOOD COR CENTER,New Orleans Area of Responsibility
SAAHOLD,SANTA ANA DRO HOLDROOM,Los Angeles Area of Responsibility
SACHOLD,SACRAMENTO HOLD,San Francisco Area of Responsibility
SACITCA,SANTA ANA CITY JAIL,Los Angeles Area of Responsibility
SACRACA,SACRAMENTO COUNTY JAIL,San Francisco Area of Responsibility
SAGHOLD,SAN ANGELO HOLDROOM,Dallas Area of Responsibility
SAIHOLD,SAIPAIN HOLD,San Francisco Area of Responsibility
SAJHOLD,SAN JUAN SUB-OFFICE HOLD ROOM,Miami Area of Responsibility
SALEMNJ,SALEM COUNTY CORRECTIONAL FACILITY,Newark Area of Responsibility
SALHOLD,SALISBURY HOLD ROOM,NA
SALINNE,SALINE COUNTY JAIL,St. Paul Area of Responsibility
SAMBCMI,SAMARITAN BEHAVIORAL CENTER,Detroit Area of Responsibility
SANDONM,SANDOVAL COUNTY DET CTR,El Paso Area of Responsibility
SANJAIL,SANGAMON COUNTY JAIL,Chicago Area of Responsibility
SANMINM,SAN MIGUEL COUNTY DET CTR,El Paso Area of Responsibility
SANTANM,SANTA FE COUNTY JAIL,El Paso Area of Responsibility
SARASFL,SARASOTA COUNTY JAIL,Miami Area of Responsibility
SARJUNE,SARPY COUNTY JUVENILE,St. Paul Area of Responsibility
SBARBCA,SANTA BARBARA COUNTY JAIL,Los Angeles Area of Responsibility
SBDHOLD,SAN BERNARDINO HOLD ROOM,Los Angeles Area of Responsibility
SBERNCA,SAN BERNARDINO CO. JAIL,Los Angeles Area of Responsibility
SBNTOTX,SAN BENITO POLICE DEPT.,Harlingen Area of Responsibility
SCNORCA,SANTA CLARA CO MAIN JAIL,San Francisco Area of Responsibility
SCOTTIA,SCOTT COUNTY DET.FACILITY,St. Paul Area of Responsibility
SCOTTMO,SCOTT COUNTY JAIL,Chicago Area of Responsibility
SCOTTNE,SCOTTS BLUFF CO JAIL,St. Paul Area of Responsibility
SCRUZAZ,SANTA CRUZ CO JAIL AZ,Phoenix Area of Responsibility
SCVMCCA,SHARP CHULA VISTA MEDICAL CENTER,San Diego Area of Responsibility
SDHOSCA,SAN DIEGO AREA HOSPITAL,NA
SDPROCA,S.D. COUNTY PROBATION,San Diego Area of Responsibility
SEAHOLD,SEATTLE FIELD OFFICE HOLD ROOM,Seattle Area of Responsibility
SEBASAR,SEBASTIAN COUNTY DET CNT,New Orleans Area of Responsibility
SENECNY,SENECA COUNTY JAIL,New York City Area of Responsibility
SENECOH,SENECA COUNTY JAIL,Detroit Area of Responsibility
SFCORNM,SANTA FE CORNELL DET. FAC.,El Paso Area of Responsibility
SFDHOLD,SIOUX FALLS HOLD ROOM,St. Paul Area of Responsibility
SFRHOLD,SFR HOLD ROOM,San Francisco Area of Responsibility
SGUHOLD,"ST. GEORGE, UT HOLDROOM",Salt Lake City Area of Responsibility
SHACOKS,SHAWNEE COUNTY DEPT OF CORR.,Chicago Area of Responsibility
SHAJUKS,SHAWNEE COUNTY JUV.DET.CTR,Chicago Area of Responsibility
SHECOVA,SHENANDOAH CO JAIL,Washington Area of Responsibility
SHERBMN,SHERBURNE COUNTY JAIL,St. Paul Area of Responsibility
SHERIMT,SHERIDAN COUNTY JAIL,Salt Lake City Area of Responsibility
SHNMCTX,SHANNON MEDICAL CENTER,Dallas Area of Responsibility
SILERTN,SILVERDALE/HAMILTON COUNTY,New Orleans Area of Responsibility
SISAONE,SLEEP INN SUITES AIRPORT,NA
SITKAAK,"SITKA CITY JAIL, SITKA AK",Seattle Area of Responsibility
SJS,SAN JUAN STAGING,Miami Area of Responsibility
SJUANNM,SAN JUAN COUNTY DETENTION CENTER,El Paso Area of Responsibility
SJUANTX,SAN JUAN POLICE DEPT.,Harlingen Area of Responsibility
SJUHOLD,SAN JUAN AIRPORT HOLD ROOM,Miami Area of Responsibility
SLBHSTX,ST LUKE'S BAPTIST HOSPITAL,San Antonio Area of Responsibility
SLCHOLD,SALT LAKE CITY HOLD ROOM,Salt Lake City Area of Responsibility
SLINPAZ,SLEEP INN PHOENIX,NA
SLJUVCA,SAN LUIS OBISPO CO. JUVEN,Los Angeles Area of Responsibility
SLOBICA,SAN LUIS OBISPO CO JAIL,Los Angeles Area of Responsibility
SLRDCAZ,SAN LUIS REGIONAL DET CENTER,San Diego Area of Responsibility
SLSLCUT,SALT LAKE COUNTY JAIL,Salt Lake City Area of Responsibility
SMRVLTX,SOMERVELL COUNTY SHERIFF'S DEPT.,Houston Area of Responsibility
SNAHOLD,SAN ANTONIO DRO HOLD ROOM,San Antonio Area of Responsibility
SNDCOCA,SAN DIEGO COUNTY JAIL,San Diego Area of Responsibility
SNDHOLD,SND DISTRICT STAGING,San Diego Area of Responsibility
SNJHOLD,SNJ HOLD ROOM,San Francisco Area of Responsibility
SOBAYCA,SOUTH BAY DETENT FACILITY,San Diego Area of Responsibility
SOMERME,SOMERSET COUNTY JAIL,Boston Area of Responsibility
SONMACA,SONOMA CO MAIN ADULT DET,San Francisco Area of Responsibility
SP8WWTX,SUPER 8 WYNDHAM WESLACO,NA
SPGHOLD,SPRINGFIELD DRO HOLD,Chicago Area of Responsibility
SPHOSCA,SAN PEDRO PENINSULA HOSPITAL,Los Angeles Area of Responsibility
SPIPDTX,SOUTH PADRE ISLAND POLICE DEPT.,Harlingen Area of Responsibility
SPMHOLD,BISHOP HENRY WHIPPLE FED BLDG,St. Paul Area of Responsibility
SPOHOLD,SPOKANE HOLD ROOM,NA
SPRNGOR,SPRINGFIELD CITY JAIL,Seattle Area of Responsibility
SRJDFID,SNAKE RIVER JUVENILE,NA
SSHBWTX,SURESTAY HOTEL BEST WEST,NA
SSHSWMA,SOUTH SHORE HOSPITAL,Boston Area of Responsibility
SSMHOLD,SAULT SAINTE MARIE HOLDROOM,Detroit Area of Responsibility
SSPBAAZ,STAYBRIDGE STE PHO  B A,NA
STAHOLD,SAINT ALBANS HOLD ROOM,Boston Area of Responsibility
STCDFTX,SOUTH TEXAS ICE PROCESSING CENTER,San Antonio Area of Responsibility
STCLAMI,ST. CLAIR COUNTY JAIL,Detroit Area of Responsibility
STCROWI,ST. CROIX COUNTY JAIL,Chicago Area of Responsibility
STDHOLD,SOUTH TEXAS/PEARSALL HOLD ROOM,San Antonio Area of Responsibility
STEUBNY,STEUBEN COUNTY JAIL,New York City Area of Responsibility
STEVEWA,STEVENS COUNTY JAIL,Seattle Area of Responsibility
STFRCTX,SOUTH TEXAS FAM RESIDENTIAL CENTER,San Antonio Area of Responsibility
STJONFL,ST. JOHN'S COUNTY JAIL,Miami Area of Responsibility
STJOSAZ,ST. JOSEPH'S HOSPITAL & MED. CEN.,Phoenix Area of Responsibility
STJOSCA,ST. JOSEPH'S HOSPITAL,Los Angeles Area of Responsibility
STK,STOCKTON STAGING FACILITY,San Diego Area of Responsibility
STLAWNY,ST LAWRENCE COUNTY JAIL,New York City Area of Responsibility
STLHOLD,ST. LOUIS HOLDROOM,Chicago Area of Responsibility
STMARAZ,ST MARY'S HOSPITAL,Phoenix Area of Responsibility
STMARCA,ST MARY MEDICAL CENTER,NA
STORYIA,STORY COUNTY JAIL,St. Paul Area of Responsibility
STRAFNH,STRAFFORD CO DEPT OF CORR,Boston Area of Responsibility
STTAMLA,ST TAMMANY PARISH JAIL,New Orleans Area of Responsibility
STTCJVI,ST T CRIMINAL JUST COMPLX,Miami Area of Responsibility
STUHOLD,STUART HOLD ROOM,NA
STUTSND,"STUTSMAN CO. JAIL, ND",St. Paul Area of Responsibility
STWRTGA,STEWART DETENTION CENTER,Atlanta Area of Responsibility
SUFFOMA,SUFFOLK HOC SBAY,Boston Area of Responsibility
SUFFONY,SUFFOLK CO.CORREC FAC,New York City Area of Responsibility
SUMMIUT,SUMMIT COUNTY JAIL,Salt Lake City Area of Responsibility
SUNNYWA,SUNNYSIDE JAIL,Seattle Area of Responsibility
SUPHDTX,SUPER 8 BY WYNDHAM,NA
SUSSEDE,"SUSSEX CO PRIS,GEOTWN,DE",Philadelphia Area of Responsibility
SUSSENJ,SUSSEX COUNTY JAIL,Newark Area of Responsibility
SUWANFL,SUWANNEE COUNTY JAIL,Miami Area of Responsibility
SWEETWY,SWEETWATER COUNTY JAIL,Denver Area of Responsibility
SXCHOLD,SIOUX CITY HOLD ROOM,NA
TAKARTX,TRUSTED ADULT KARNES FSC,San Antonio Area of Responsibility
TALHOLD,TALLAHASSEE HOLD ROOM,Miami Area of Responsibility
TALLAMS,TALLAHATCHIE CO CORR FACILITY,New Orleans Area of Responsibility
TAMHOLD,TAMPA HOLD ROOM,Miami Area of Responsibility
TASTDTX,TRUSTED ADULT SOUTH TEX DILLEY FSC,San Antonio Area of Responsibility
TAYLOTX,TAYLOR COUNTY ADULT DET.,Dallas Area of Responsibility
TELLECO,TELLER COUNTY JAIL,Denver Area of Responsibility
TEMPLCA,TEMPLE MEDICAL,Los Angeles Area of Responsibility
TENSALA,TENSAS PARISH DET. CNTR.,New Orleans Area of Responsibility
TETONWY,TETON COUNTY DETENTION CENTER,Denver Area of Responsibility
TFALLID,TWIN FALLS COUNTY JAIL,NA
TFIHOLD,TWIN FALLS HOLD ROOM,NA
TGREETX,TOM GREEN CTY JAIL,Dallas Area of Responsibility
THHEBTX,TX HEALTH METH HOSP HEB,NA
THHHBTX,TEX HEALTH HUGULEY HOSP,NA
THPSCTX,THOP SIERRA CAMPUS ELP,NA
TIOGANY,TIOGA COUNTY JAIL,New York City Area of Responsibility
TITUSTX,TITUS COUNTY JAIL,Dallas Area of Responsibility
TLACYCA,THEO LACY FACILITY,Los Angeles Area of Responsibility
TNGLPOE,TORNILLO-GUADALUPE POE,NA
TNWESDF,WESTERN TENNESSEE DET. FAC.,New Orleans Area of Responsibility
TOOELUT,TOOELE COUNTY JAIL,Salt Lake City Area of Responsibility
TOOLEMT,TOOLE COUNTY JAIL,Salt Lake City Area of Responsibility
TOORANM,"TORRANCE/ESTANCIA, NM",El Paso Area of Responsibility
TORHOLD,TORNILLO ADULT HOLD ROOM,El Paso Area of Responsibility
TRAVITX,TRAVIS COUNTY JAIL,San Antonio Area of Responsibility
TRICOIL,TRI-COUNTY JAIL,NA
TRRMCNJ,TRINITAS REGIONAL MED CTR,Newark Area of Responsibility
TUCHOLD,TUCSON INS HOLD ROOM,Phoenix Area of Responsibility
TULCOOK,TULSA COUNTY JAIL,Dallas Area of Responsibility
TULHOLD,TULSA HOLD ROOM,NA
TVMSATX,TEXAS VISTA MEDICAL CENTER,San Antonio Area of Responsibility
TXAHOLD,TEXARKANA HOLDROOM,New Orleans Area of Responsibility
UCHUHCO,UCHEALTH UNV HOSP OF CO,Denver Area of Responsibility
UCSDHCA,UNV CALIFORNIA SAN DIEGO HOSPITAL,San Diego Area of Responsibility
UHGMCOH,UNIV HOSP GEAUGA MED CTR,Detroit Area of Responsibility
UINTCUT,UINTAH COUNTY JAIL,NA
UMATCOR,UMATILLA CO JAIL,Seattle Area of Responsibility
UMCEPTX,UNIVERSITY MED CENTER OF EL PASO,NA
UMIAHFL,UNIVERSITY OF MIAMI HOSPITAL,NA
UNIONSD,UNION COUNTY JAIL,St. Paul Area of Responsibility
UNIVHNJ,UNIVERSITY HOSPITAL,Newark Area of Responsibility
UPMCAPA,UPMC ALTOONA,Philadelphia Area of Responsibility
USMS2TX,US MARSHALS SDTX BROWNSVILLE,Harlingen Area of Responsibility
USMS3TX,US MARSHALS  SDTX,Harlingen Area of Responsibility
USMSDMS,"US MARSHALS, S.DIST, MS",New Orleans Area of Responsibility
USMVT,"US MARSHAL'S, VERMONT",Boston Area of Responsibility
USMWDLA,"US MARSHALS, W.D. LA.",New Orleans Area of Responsibility
UTAHCUT,UTAH COUNTY JAIL,Salt Lake City Area of Responsibility
UVALDTX,UVALDE COUNTY JAIL,San Antonio Area of Responsibility
UVHSATX,UNIVERSITY HOSPITAL,San Antonio Area of Responsibility
VALVETX,VAL VERDE DETENTION CENTER,San Antonio Area of Responsibility
VBHOSTX,VALLEY BAPTIST HOSPITAL,San Antonio Area of Responsibility
VENHOLD,VENTURA CUSTODY CASE,Los Angeles Area of Responsibility
VENTUCA,VENTURA COUNTY JAIL,Los Angeles Area of Responsibility
VICTOTX,VICTORIA COUNTY JAIL,San Antonio Area of Responsibility
VIRBEVA,VIRGINIA BEACH,Washington Area of Responsibility
VISTACA,VISTA DETENTION FACILITY,San Diego Area of Responsibility
VPREGVA,VIRGINIA PENINSULA REG. JAIL,Washington Area of Responsibility
VRK,VARICK STREET SPC,New York City Area of Responsibility
VTCHTDN,CHITTENDEN REG. COR. FACILITY,Boston Area of Responsibility
VTDCORR,VT. DEPT. OF CORRECTIONS,Boston Area of Responsibility
VTSTALB,NORTHWEST STATE CORRECTIONAL CTR.,Boston Area of Responsibility
VVGMCCA,VICTOR VALLEY GLOBAL MED CENTER,NA
VVSHOLD,SHREVEPORT HOLD ROOM,New Orleans Area of Responsibility
VWHMCAZ,VALLEYWISE HEALTH MED CTR,Phoenix Area of Responsibility
WACLATX,CENTRAL TEXAS DETENTION FACILITY,San Antonio Area of Responsibility
WAJAIMN,WASHINGTON COUNTY JAIL,St. Paul Area of Responsibility
WAKECNC,WAKE COUNTY SHERIFF DEPT.,NA
WAKULFL,WAKULLA COUNTY JAIL,Miami Area of Responsibility
WALSHND,WALSH COUNTY JAIL,St. Paul Area of Responsibility
WARCOTX,"WARD CTY JAIL, MONAHANS",El Paso Area of Responsibility
WARDCND,WARD COUNTY JAIL,St. Paul Area of Responsibility
WASATUT,WASATCH COUNTY JAIL,NA
WASCONY,WASHINGTON COUNTY JAIL,New York City Area of Responsibility
WASHCUT,WASHINGTON COUNTY JAIL,Salt Lake City Area of Responsibility
WASHIAR,WASHINGTON COUNTY JAIL,New Orleans Area of Responsibility
WASHICO,WASHINGTON COUNTY JAIL,Denver Area of Responsibility
WASHOLD,WASHINGTON FIELD OFFICE,Washington Area of Responsibility
WASHONV,WASHOE COUNTY JAIL,Salt Lake City Area of Responsibility
WASHTMI,"WASHTENAW CO, AN ARBOR,MI",Detroit Area of Responsibility
WAUKEWI,WAUKESHA COUNTY JAIL,Chicago Area of Responsibility
WAYNENY,WAYNE COUNTY JAIL,NA
WCCBXTX,BEXAR COUNTY WACKENHUT ANNUAL DET.,San Antonio Area of Responsibility
WCCPBFL,BROWARD TRANSITIONAL CENTER,Miami Area of Responsibility
WCCSDCA,WACKENHUT CORRECTIONS CORP,San Diego Area of Responsibility
WCRDFTX,WILLACY CO  REGIONAL DETN FACIL,Harlingen Area of Responsibility
WCTHOLD,WACO DRO HOLD ROOM,Houston Area of Responsibility
WEBDCTX,WEBB COUNTY DETENTION CENTER (CCA),Harlingen Area of Responsibility
WEBERUT,WEBER COUNTY JAIL,NA
WESHOLD,WESTMINSTER CUSTODY,Los Angeles Area of Responsibility
WHITFGA,WHITFIELD COUNTY JAIL,Atlanta Area of Responsibility
WICHOLD,WICHITA HOLDROOM,Chicago Area of Responsibility
WIDODGE,"DODGE CORR INSTITUTE, WAU",NA
WINCOTX,WINKLER COUNTY JAIL,El Paso Area of Responsibility
WINWYAZ,WINGATE WYNDHAM CASA ESPERANZA,NA
WKBHMFL,WEST KENDALL BAPTIST HOSP,Miami Area of Responsibility
WMDBHFL,WEST MIAMI DADE BAPT HEALTH EMERG,NA
WMHOSCA,WHITE MEMORIAL HOSPITAL,Los Angeles Area of Responsibility
WNTHOLD,WENATCHEE HOLD ROOM,NA
WOAKSTX,WEST OAKS HOSPITAL,NA
WOODBIA,WOODBURY COUNTY JAIL,St. Paul Area of Responsibility
WORCEMD,WORCESTER CO. JAIL,NA
WSTMCCA,WESTERN MEDICAL CENTER,Los Angeles Area of Responsibility
WTREGVA,WESTERN TIDEWATER REG. JAIL,Washington Area of Responsibility
WTXDFTX,WEST TEXAS DETENTION FACILITY,El Paso Area of Responsibility
WVEASTR,EASTERN REGIONAL JAIL,Philadelphia Area of Responsibility
WVIRGVA,WESTERN VIRGINIA REGIONAL JAIL,Washington Area of Responsibility
WVNORTH,NORTHERN REGIONAL JAIL,Philadelphia Area of Responsibility
WVREGWV,WV REGIONAL JAIL & CORR.,Philadelphia Area of Responsibility
WVSCENT,SOUTH CENTRAL REGIONAL JAIL,Philadelphia Area of Responsibility
WWDHDNH,WENTWORTH DOUGLAS HOSPITAL,Boston Area of Responsibility
WYATTRI,WYATT DETENTION CENTER,Boston Area of Responsibility
WYMCONY,WYOMING COUNTY JAIL,New York City Area of Responsibility
YAKHOLD,YAKIMA SUB-OFFICE,Seattle Area of Responsibility
YANCOSD,YANKTON CO. JAIL SD,St. Paul Area of Responsibility
YATESNY,YATES COUNTY JAIL,New York City Area of Responsibility
YAVAPAZ,YAVAPAI COUNTY JAIL,Phoenix Area of Responsibility
YAVCVAZ,YAVAPAI COUNTY DETENTION CENTER,Phoenix Area of Responsibility
YELLOMT,YELLOWSTONE COUNTY JAIL,Salt Lake City Area of Responsibility
YIKIMWA,YAKIMA COUNTY,Seattle Area of Responsibility
YORCOPA,"YORK COUNTY JAIL, PA",Philadelphia Area of Responsibility
YORCOSC,YORK COUNTY DETENTION CENTER,NA
YORKCME,YORK COUNTY JAIL,Boston Area of Responsibility
YRKHOLD,YORK HOLD ROOM,NA
YUBAJCA,YUBA COUNTY JAIL,San Francisco Area of Responsibility
YUMHOLD,YUMA HOLDROOM,Phoenix Area of Responsibility
